id,name,measurement_unit
83,баклажаны,г
84,баклажаны мини,г
85,баклажаны тайские,г
86,балык,г
87,бальзам,г
88,бальзамический крем,г
89,бальзамический соус,мл
90,бальзамический уксус,мл
91,бальзам рижский черный,мл
92,бамия,г
93,банановое пюре,г
94,банановые чипсы,г
95,банановый зеленый сироп,мл
96,банановый ликер,мл
97,бананы,г
98,бананы мини,г
99,барабулька,г
100,бараний ливер,г
101,бараний окорок на косточке,г
102,бараний фарш,г
103,баранина,г
104,баранки,г
105,бараньи антрекоты,г
106,бараньи голяшки,шт.
107,бараньи потроха,г
108,бараньи ребрышки,шт.
109,баранья лопатка,г
110,баранья нога,г
111,баранья печень,г
112,барбарис,г
113,барбарис вяленый,ст. л.
114,барбарис молотый,г
115,бастурма,г
116,батат,г
117,батон,г
118,батончики шоколадные,г
119,безе,г
120,бекон,г
121,бекон варено-копченый,г
122,бекон сырокопченый,г
123,белорыбица,г
124,бирнель,мл
125,бисквик смесь готовая,г
126,бисквит,г
127,бисквитная крошка,г
128,бисквитный корж,г
129,бисквитный рулет,г
130,бисквит шоколадный,г
131,бифштекс,шт.
132,блинная мука,г
133,блины готовые,г
134,блины овсяные,шт.
135,бобовые ростки,г
136,бобы,г
137,бобы мунг пророщенные,г
138,бобы тонка,шт.
139,ботарга,г
140,брезаола,г
141,бренди,г
142,брокколи замороженная,г
143,брокколи свежая,г
144,брусника замороженная,г
145,брусника свежая,г
146,брусника сушеная,г
147,брусничное варенье,г
148,брусничный соус,г
149,брынза,г
150,брынза сербская,г
151,брюква,г
152,буженина,г
153,бузина сироп,мл
154,букет гарни,г
155,булгур,г
156,булка,г
157,булка белая,г
158,булка сдобная,г
159,булочки,г
160,булочки белые черствые,г
161,булочки бриошь,шт.
162,булочки вчерашние,шт.
163,булочки для гамбургеров,шт.
164,булочки зерновые,шт.
165,булочки ржаные,кусок
166,булочки с кунжутом,шт.
167,бульон,мл
168,бульонные кубики,г
169,бурбон,мл
170,Буррата,г
171,буряк,г
172,бусинки кондитерские,ч. л.
173,бусинки кондитерские серебряные,г
174,бычий хвост,г
175,ванилин,г
176,ваниль в стручках,г
177,ванильная настойка,мл
178,ванильная эссенция,г
179,ванильный порошок,г
180,ванильный сироп,мл
181,ванильный экстракт,г
182,варенье,г
183,васаби,г
184,вафельная крошка,г
185,вафельные коржи,г
186,вафельные трубочки,г
187,вафли,г
188,вафли шоколадные,г
189,вермишель,г
190,вермишель яичная,г
191,вермут,мл
192,вермут белый,мл
193,вермут сухой,мл
194,ветчина,г
195,ветчина вареная,г
196,ветчина варено-копченая,г
197,ветчина копченая,г
198,ветчина пармская,г
199,ветчина сырокопченая,г
200,вешенки,г
201,винегрет,г
202,винный камень,г
203,винный уксус,мл
204,винный уксус белый,мл
205,винный уксус красный,мл
206,винный уксус на чесноке,мл
207,винный уксус на эстрагоне,мл
208,вино белое,мл
209,вино белое полусладкое,мл
210,вино белое полусухое,мл
211,вино белое сладкое,мл
212,вино белое столовое,мл
213,вино белое сухое,мл
214,виноград,г
215,виноград без косточек,г
216,виноград белый,г
217,виноград изабелла,г
218,виноградное желе,г
219,виноградные листья,г
220,виноградные листья маринованные,г
221,виноградные листья молодые,шт.
222,виноградный сок,мл
223,виноградный сок осветленный,мл
224,виноград синий,г
225,виноград черный,г
226,вино десертное,мл
227,вино игристое сухое,мл
228,вино красное,мл
229,вино красное полусладкое,мл
230,вино красное полусухое,мл
231,вино красное сладкое,мл
232,вино красное сухое,мл
233,вино крепленое,мл
234,вино розовое полусладкое,мл
235,вино розовое полусухое,мл
236,виски,мл
237,витамин C в порошке,г
238,вишневая настойка,мл
239,вишневое варенье,г
240,вишневые листья,г
241,вишневый джем,г
242,вишневый ликер,мл
243,вишневый сироп,мл
244,вишневый сок,мл
245,вишня,г
246,вишня вяленая,г
247,вишня замороженная,г
248,вишня засахаренная кондитерская,шт.
249,вишня коктейльная,г
250,вишня мараскино,г
251,"вишня, протертая с сахаром",г
252,вода,мл
253,вода минеральная без газа,мл
254,вода минеральная газированная,мл
255,водка,мл
256,водка анисовая,мл
257,водоросли,г
258,вустерширский соус,мл
259,галангал корень,г
260,галеты,г
261,гамбургер,г
262,ганаш,г
263,гарам масала,г
264,гарнир,г
265,гаспачо,г
266,гвоздика,г
267,гвоздика молотая,г
268,герань листья,г
269,геркулес,г
270,глазурь,г
271,глазурь белая,г
272,глазурь готовая,г
273,глазурь черная,г
274,глазурь шоколадная белая,г
275,глутамат натрия,г
276,глюкоза,г
277,глюкоза сироп,мл
278,говядина,г
279,говядина на кости,г
280,говяжий фарш,г
281,говяжий язык,г
282,говяжье сердце,г
283,говяжьи бифштексы,г
284,говяжьи голяшки,г
285,говяжьи легкие,г
286,говяжьи ребра,г
287,говяжьи стейки рибай,г
288,говяжья вырезка,шт.
289,говяжья грудинка,г
290,говяжья лопатка,г
291,говяжья мозговая кость,шт.
292,говяжья мякоть,г
293,говяжья печень,г
294,говяжья черева,г
295,говяжья шейка,г
296,годжи,г
297,голец филе,г
298,голубика,г
299,голубика замороженная,г
300,голубь,г
301,горбуша,г
302,горбуша в собственном соку,банка
303,горбуша филе,г
304,горгонзола,г
305,горгонзола пиканте,г
306,горох,г
307,горох колотый,г
308,гороховые ростки,г
309,гороховый суп,мл
310,горошек зеленый,г
311,горошек зеленый замороженный,г
312,горошек зеленый консервированный,г
313,горошек стручковый свежий,г
314,горчица,г
315,горчица дижонская,г
316,горчица дижонская с медом,г
317,горчица желтая семена,г
318,горчица острая,г
319,горчица русская,г
320,горчица семена,г
321,горчица с зернами,г
322,горчица сухая,г
323,горчица французская,г
324,горчица цитрусовая,г
325,горчичное масло,мл
326,горчичный порошок,г
327,грана падано,г
328,гранатные зерна,г
329,гранатовая паста,г
330,гранатовый сироп,мл
331,гранатовый сок,мл
332,гранатовый сок свежевыжатый,мл
333,гранатовый соус,мл
334,гранаты,г
335,гранита,г
336,гранола с орехами,г
337,граппа,г
338,гратен,г
339,грейпфрутовая цедра,г
340,грейпфрутовый сок,г
341,грейпфруты,г
342,грейпфруты розовые,г
343,гренадин,г
344,гренки,г
345,грецкие орехи,г
346,грецкие орехи рубленые,г
347,гречневая крупа,г
348,гречневая крупа зеленая,г
349,гречневая лапша соба,г
350,гречневая мука,г
351,гречневое молоко,мл
352,гречневые хлопья,г
353,грибы,г
354,грибы белые,г
355,грибы белые замороженные,г
356,грибы белые маринованные,г
357,грибы белые сухие,г
358,грибы замороженные,г
359,грибы замороженные (опята и маслята),г
360,грибы лесные,г
361,грибы маринованные,г
362,грибы свежие,г
363,грибы соленые,г
364,грибы соломенные консервированные,г
365,грибы сухие,г
366,грибы шиитаке,г
367,грибы шиитаке сухие,г
368,гриль,г
369,гриссини,г
370,грудинка,г
371,грудинка варено-копченая,г
372,грудинка копченая,г
373,грушевое пюре,г
374,грушевый ликер,мл
375,грушевый сироп,мл
376,грушевый сок,мл
377,грушевый уксус,мл
378,груши,г
379,груши вяленые,г
380,грюйер,г
381,гуава,г
382,гуанчиале,г
383,гурьевская каша,г
384,гусиная грудка копченая,г
385,гусиная печень,г
386,гусиный жир,ст. л.
387,гусь,г
388,гусь тушка,г
389,дайкон,г
390,детское питание,г
391,джем,г
392,джин,мл
393,джусай,г
394,диоксид титана,г
395,долма,г
396,дорада,г
397,дорада потрошеная с головой,г
398,дорада с головой,г
399,дорада тушка,г
400,драже,г
401,дрожжи домашние,г
402,дрожжи свежие,г
403,дрожжи сухие,г
404,дубовая кора,г
405,душица,г
406,дыня,г
407,ежевика,г
408,ежевика замороженная,г
409,ёрш,г
410,ёрш-носарь,г
411,желатин,г
412,желатин листовой,г
413,желе,г
414,желе для торта,г
415,желирующее вещество,г
416,желирующий сахар,г
417,женьшень,г
418,жидкий дым,мл
419,жимолость,г
420,жир,г
421,жир вытопленный,г
422,жир кулинарный,г
423,жир растительный,г
424,заатар,г
425,завтрак сухой,г
426,завтрак сухой подушечки,г
427,загуститель для сливок,г
428,зайчатина,г
429,закваска,г
430,закваска вечная,г
431,заменитель сахара,г
432,заменитель сахара стевия,г
433,заправка для салатов готовая,г
434,зверобой,г
435,зелень,г
436,зелень рубленая,г
437,земляника,г
438,земляника замороженная,г
439,зефир,г
440,зира,г
441,злаковые хлопья,г
442,зубатка,г
443,зубатка филе,г
444,изолят соевого протеина,г
445,изюм,г
446,изюм без косточек,г
447,изюм белый,г
448,изюм черный,г
449,икра,г
450,икра вяленой рыбы,г
451,икра горбуши зернистая,г
452,икра красная,г
453,икра красной рыбы мелкая,г
454,икра летучей рыбы,г
455,икра лосося,г
456,икра мойвы,г
457,икра палтуса,г
458,икра судака,г
459,икра черная,г
460,имбирное варенье,г
461,имбирное печенье,г
462,имбирные цукаты,г
463,имбирь,г
464,имбирь засахаренный,г
465,имбирь корень,г
466,имбирь маринованный,г
467,имбирь молотый,г
468,индейка,г
469,индейка голень,г
470,индейка грудка,г
471,индейка копченая,г
472,индейка тушка,шт.
473,индейка фарш,г
474,индейка филе,г
475,индоутка,шт.
476,индюшачья печень,г
477,инжир,г
478,инжир свежий,г
479,инжир сушеный,г
480,ирга,г
481,ириски,г
482,итальянские травы,г
483,йогурт,г
484,йогурт греческий,г
485,йогурт жирный,г
486,йогурт козий,г
487,йогурт натуральный,г
488,йогурт нежирный,г
489,йогурт обезжиренный,г
490,йогурт фруктовый,г
491,кабачки,г
492,кабачки замороженные,г
493,кабачки молодые,г
494,каджунская смесь специй,г
495,какао,г
496,какао-бобы,г
497,какао-масло,г
498,какао-порошок,г
499,какао-порошок обезжиренный,г
500,какао сгущенное,г
501,калина,г
502,калина протертая,г
503,калинджи семена,ч. л.
504,кальвадос,г
505,кальмары,г
506,кальмары вареные,г
507,кальмары замороженные,г
508,кальмары консервированные,г
509,кальмары филе,г
510,камамбер,г
511,камбала,г
512,камбала филе,г
513,кампари,мл
514,кандурин золотой,ч. л.
515,каннеллони,г
516,капеллини,г
517,каперсы,г
518,каперсы в винном уксусе,г
519,каперсы маринованные,г
520,капуста белокочанная,г
521,капуста брюссельская,г
522,капуста брюссельская замороженная,г
523,капуста кале,г
524,капуста квашеная,г
525,капуста кольраби,г
526,капуста краснокочанная,г
527,капуста морская,г
528,капуста морская замороженная,г
529,капуста морская сушеная,г
530,капуста пекинская,г
531,капуста савойская,г
532,капуста цветная,г
533,капуста цветная замороженная,г
534,капустный рассол,г
535,капучино,г
536,каракатица,г
537,каракатица очищенная,г
538,карамбола,г
539,карамель,г
540,карамельный соус,г
541,карамель с начинкой,г
542,карамель соленая,г
543,карась,г
544,карбонад,г
545,кардамон,г
546,кардамон зерна,г
547,кардамон молотый,г
548,кардамон стручки,г
549,каркаде,г
550,карп,г
551,карп зеркальный,г
552,карп филе,г
553,карри,г
554,карри листья,г
555,карри паста,г
556,картофель,г
557,картофель вареный,г
558,картофель вареный в мундире,г
559,картофель молодой,г
560,картофельное пюре,г
561,картофельные ньокки,г
562,картофельные хлопья,г
563,картофельные чипсы,г
564,картофельный крахмал,г
565,картофельный отвар,г
566,картофельный хэш замороженный,г
567,картофель печеный,г
568,катык,г
569,каффир-лайм листья,г
570,каша,г
571,каша для детского питания,г
572,каштановая мука,г
573,каштановый крем,г
574,каштаны,г
575,каштаны вареные,г
576,каштаны консервированные,г
577,каштаны очищенные,г
578,квас,г
579,квасное сусло,г
580,квасной концентрат сухой,г
581,квас хлебный,г
582,кедровая мука,г
583,кедровые орехи,г
584,кедровые орехи жареные,г
585,кета,г
586,кетчуп острый,г
587,кетчуп томатный,г
588,кетчуп тосканский,г
589,кетчуп шашлычный,г
590,кефаль,г
591,кефир,мл
592,кефир 1%,мл
593,"кефир 2,5%",мл
594,"кефир 3,2%",мл
595,кефир обезжиренный,мл
596,кешью,г
597,кивано,г
598,киви,г
599,киви желе,г
600,кижуч,г
601,кижуч горячего копчения филе,г
602,кизил,г
603,килька,г
604,кимчи,г
605,кинза свежая,г
606,кинза сушеная,г
607,киноа,г
608,киноа молотая,г
609,кипяток,мл
610,кирш,г
611,кисель,г
612,кисель сухой,г
613,кисломолочный напиток Тан,мл
614,кишки,г
615,клейковина,г
616,клементины,г
617,кленовый сироп,мл
618,клубника,г
619,клубника в сиропе,г
620,клубника замороженная,г
621,"клубника, протертая с сахаром",г
622,клубника сушеная,г
623,клубничное варенье,г
624,клубничное желе,г
625,клубничное пюре,г
626,клубничный джем,г
627,клубничный джем густой,г
628,клубничный компот,мл
629,клубничный ликер,мл
630,клубничный сироп,мл
631,клюква,г
632,клюква вяленая,г
633,клюква замороженная,г
634,"клюква, протертая с сахаром",г
635,клюквенное варенье,г
636,клюквенный джем,г
637,клюквенный морс,мл
638,клюквенный сироп,мл
639,клюквенный соус,г
640,козлиная печень,г
641,козлятина молодая,г
642,кока-кола,мл
643,кокосовая вода,мл
644,кокосовая мука,г
645,кокосовая стружка,г
646,кокосовая стружка цветная,г
647,кокосовое масло,мл
648,кокосовое молоко,мл
649,кокосовые сливки,мл
650,кокосовый ликер,мл
651,кокосовый экстракт,мл
652,кокосы,г
653,кола,мл
654,колбаса,г
655,колбаса вареная,г
656,колбаса варено-копченая,г
657,колбаса копченая,г
658,колбаса кровяная,г
659,колбаса полукопченая,г
660,колбаса сырокопченая,г
661,колбаска свиная свежая (salsiccia),г
662,колбаски,г
663,колбаски для жарки,г
664,колбаски домашние,г
665,колбаски охотничьи,г
666,колбаски сырокопченые,г
667,компот,г
668,конопляное масло,мл
669,конопля семена,г
670,конфеты,г
671,конфеты M&M’s,г
672,конфеты жевательные лакричные,г
673,конфеты Коровка,г
674,конфеты Трюфель,г
675,конфитюр,г
676,конфитюрка,г
677,коньяк,мл
678,копчености,г
679,коренья,г
680,кориандр,г
681,кориандр зелень,г
682,кориандр молотый,г
683,кориандр семена,г
684,коринка,г
685,корица,г
686,корица молотая,г
687,корнишоны,г
688,корнишоны маринованые,г
689,корюшка,г
690,корюшка горячего копчения,г
691,кости,г
692,кости мозговые,г
693,кость сахарная,г
694,кофе в зернах,г
695,кофе зеленый,г
696,кофейные зерна в шоколаде,г
697,кофейный ликер,мл
698,кофейный ликер Kahlua,мл
699,кофейный напиток,мл
700,кофейный сироп,мл
701,кофейный экстракт,мл
702,кофе молотый,г
703,кофе растворимый,г
704,кофе свежесваренный,мл
705,кофе черный,мл
706,кофе эспрессо,мл
707,крабовое мясо,г
708,крабовые палочки,г
709,краб снежный,г
710,крабы,г
711,крапива,г
712,краситель-гель пищевой,г
713,краситель пищевой,г
714,краситель пищевой вишневый,г
715,краситель пищевой желтый,г
716,краситель пищевой зеленый,г
717,краситель пищевой красный,г
718,краситель пищевой оранжевый,г
719,краситель пищевой фиолетовый,г
720,краситель пищевой черный,г
721,красная смородина,г
722,"красная смородина, протертая с сахаром",г
723,красноперка,г
724,красносмородиновое варенье,г
725,красный винный соус,г
726,крахмал,г
727,креветки,г
728,креветки замороженные,г
729,креветки королевские,г
730,креветки очищенные,г
731,креветки очищенные в рассоле,г
732,креветки салатные,г
733,креветки сушеные,г
734,креветки тигровые,г
735,крекер,г
736,крекер соленый,г
737,крем заварной,г
738,крем заварной порошковый,г
739,крем-фреш,г
740,кресс-салат,г
741,кровь,мл
742,кролик,г
743,кролик тушка,г
744,кролик филе,г
745,кроличья печень,г
746,круассаны,шт.
747,крутоны мелкие,г
748,крыжовник,г
749,крыжовниковое варенье,г
750,кукуруза,г
751,кукуруза замороженная,г
752,кукуруза консервированная,г
753,кукуруза обжаренная кикос,г
754,кукурузная крупа,г
755,кукурузная мука,г
756,кукурузное масло,г
757,кукурузные лепешки,шт.
758,кукурузные палочки,г
759,кукурузные хлопья,г
760,кукурузные хлопья глазированные,г
761,кукурузные чипсы,г
762,кукурузный (золотой) сироп,мл
763,кукурузный крахмал,г
764,кумин,г
765,кумкваты,г
766,кунжут,г
767,кунжутная мука,г
768,кунжутная паста,г
769,кунжутное масло,г
770,кунжутные семечки,г
771,кунжут черный,г
772,купаты,шт.
773,курага,г
774,курдючное сало,г
775,курдючный жир,г
776,куриная ветчина,г
777,куриная кожа,г
778,куриная печень,г
779,куриное карпаччо,г
780,куриное филе,г
781,куриные бедра,г
782,куриные голени,г
783,куриные голени копченые,шт.
784,куриные грудки,г
785,куриные грудки вареные,г
786,куриные грудки копченые,г
787,куриные желудочки,г
788,куриные кости,г
789,куриные крылья,г
790,куриные окорочка,г
791,куриные окорочка копченые,г
792,куриные потрошки,г
793,куриные сердечки,г
794,куриный бульон,мл
795,куриный паштет,г
796,куриный суповой набор,г
797,куриный фарш,г
798,курица,г
799,курица вареная,г
800,курица для жарки,г
801,курица копченая,г
802,курица тушка,г
803,куркума,г
804,куропатки,г
805,кускус,г
806,кускус жемчужный,стакан
807,кэроб,г
808,лаванда,г
809,лаванда сушеная,щепотка
810,лавандовый краситель,ч. л.
811,лаваш,г
812,лаваш армянский,г
813,лаваш персидский круглый,г
814,лаваш тонкий,г
815,лавровые листья свежие,шт.
816,лавровый лист,г
817,лайм,г
818,лайм листья,шт.
819,лаймовая цедра,г
820,лаймовый сок,мл
821,лангустины,шт.
822,лапша,г
823,лапша для лагмана,г
824,лапша ширатаки,г
825,лапша яичная в гнездах,г
826,латук,г
827,легкие,г
828,лед,г
829,леди-фиш тушка,г
830,лемонграсс (лимонное сорго),г
831,лен семена,г
832,лепешки,г
833,лепешки арабские,шт.
834,лесные орехи,г
835,лечо,г
836,ливер,г
837,ликер,мл
838,ликер Alchermes,мл
839,ликер Amaretto,мл
840,ликер Baileys,мл
841,ликер Cointreau,мл
842,ликер кремовый,мл
843,ликер сливочный,мл
844,лимонад,мл
845,лимонная кислота,мл
846,лимонная цедра,г
847,лимонник стебель,г
848,лимонник ягоды,г
849,лимонные корочки засахаренные,г
850,лимонные цукаты,г
851,лимонный сок,мл
852,лимонный уксус,мл
853,лимонный экстракт,мл
854,лимончелло,г
855,лимоны,г
856,лингвине,шт.
857,лисички,г
858,лисички сушеные,г
859,личи,шт.
860,личи компот,мл
861,лобстер,г
862,лонган,г
863,лонгконг,шт.
864,лососевые молоки,г
865,лососевый фарш,г
866,лосось,г
867,лосось горячего копчения,г
868,лосось копченый,г
869,лосось свежесоленый,г
870,лосось свежий,г
871,лосось свежий филе,г
872,лосось слабосоленый,г
873,лосось стейки,г
874,лосось филе,г
875,лосось филе на коже,г
876,лосось холодного копчения,г
877,лосятина,г
878,лук белый,г
879,лук зеленый,г
880,лук красный,г
881,лук маринованный,г
882,луковая шелуха,г
883,луковый порошок,г
884,лук-порей,горсть
885,лук-резанец,г
886,лук репчатый,г
887,лук репчатый мелкий,г
888,лук салатный,г
889,лук сушеный,г
890,лук-шалот,г
891,лук-шалот красный,г
892,льняная мука,г
893,льняное масло,мл
894,льняное семя,г
895,льняное семя молотое,г
896,любисток,г
897,маасдам,г
898,мадера,г
899,майонез,г
900,майонез домашний,г
901,майонез легкий,г
902,майонезный соус «Слобода» Постный,г
903,майонез оливковый,г
904,майонез «Слобода» Легкий,г
905,майонез «Слобода» На перепелиных яйцах,г
906,майонез «Слобода» Оливковый,г
907,майонез «Слобода» Провансаль,г
908,майонез «Слобода» С лимонным соком,г
909,майонез «Слобода» Сметанный,г
910,майоран,г
911,майоран свежий,г
912,майоран сушеный,г
913,мак,г
914,макаронные изделия,г
915,макаронные изделия мелкие,г
916,макароны,г
917,макароны-бабочки (farfalle),г
918,макароны-бабочки (farfalle) мини,г
919,макароны баветте,г
920,макароны-бантики,г
921,макароны букатини,г
922,макароны джильи,г
923,макароны диталони,г
924,макароны-звездочки,г
925,макароны орзо,г
926,макароны-ракушки (conchiglie),г
927,макароны-ракушки (conchiglie rigate),г
928,макароны-ракушки крупные,г
929,макароны рисони,г
930,макароны-рожки (pipe rigate),г
931,макароны-спиральки (fusilli),г
932,макароны-ушки (orecchiette),г
933,маккерончини,г
934,мак молотый,г
935,маковая масса,г
936,малина,г
937,малина замороженная,г
938,"малина, протертая с сахаром",г
939,малина сушеная,г
940,малиновое варенье,г
941,малиновое желе,г
942,малиновое пюре,г
943,малиновый джем,г
944,малиновый крем,г
945,малиновый сироп,мл
946,малиновый соус,г
947,малиновый уксус,мл
948,малиновый чай,г
949,манго,г
950,манговый сироп,мл
951,манго консервированное,г
952,мангольд,г
953,мангустин,г
954,мандариновое пюре,г
955,мандариновые цукаты,г
956,мандариновый сок,мл
957,мандарины,г
958,мандарины в собственном соку,г
959,манная крупа,г
960,маракуйя,г
961,маргарин,г
962,маргарин сливочный,г
963,мармелад,г
964,мармелад бутербродный,г
965,марсала,г
966,мартини,мл
967,мартини красный,мл
968,марципан,г
969,марципан зеленый,г
970,марципан розовый,г
971,маршмеллоу,г
972,маршмеллоу крем,г
973,маршмеллоу мини,г
974,маскарпоне,г
975,маслины,г
976,маслины без косточек,г
977,масло авокадо,мл
978,масло виноградных косточек,мл
979,масло грецкого ореха,мл
980,масло для фритюра,мл
981,масло кедрового ореха,мл
982,маслята,г
983,мастика,г
984,мастика желатиновая,г
985,мастика шоколадная,г
986,матча,г
987,мафальдине,г
988,маца,г
989,мацони,г
990,маш,г
991,мед,г
992,мед акации,г
993,мед гречишный,г
994,мед жидкий,г
995,мед лавандовый,г
996,мелисса,г
997,меренги,г
998,мидии,г
999,мидии в раковинах,г
1000,мидии в раковинах крупные черные,г
1001,мидии в раковинах мелкие зеленые,г
1002,мидии замороженные,г
1003,мидии копченые в масле,г
1004,микрозелень,г
1005,миндаль,г
1006,миндаль жареный,г
1007,миндаль измельченный,г
1008,миндальная масса,г
1009,миндальная мука,г
1010,миндальная паста,г
1011,миндальная эссенция,г
1012,миндальное масло,г
1013,миндальное молоко,мл
1014,миндальное печенье,г
1015,миндальное пралине,г
1016,миндальные лепестки,г
1017,миндальный ликер,мл
1018,миндальный сироп,мл
1019,миндальный экстракт,мл
1020,миндаль очищенный,г
1021,миндаль рубленый,г
1022,мини-кукуруза,г
1023,минога,г
1024,минтай,г
1025,минтай печень,г
1026,минтай филе,г
1027,мисо-паста,г
1028,мисо-суп,мл
1029,можжевельник ягоды,г
1030,мойва,г
1031,моллюски,г
1032,молоко,мл
1033,"молоко 0,5%",мл
1034,"молоко 1,5%",мл
1035,"молоко 2,5%",мл
1036,"молоко 3,2%",мл
1037,"молоко 3,6%",мл
1038,молоко 4%,мл
1039,молоко 6%,мл
1040,молоко козье,мл
1041,молоко концентрированное,мл
1042,молоко рисовое,мл
1043,молоко сгущенное,г
1044,молоко сгущенное вареное,г
1045,молоко сгущенное с какао,г
1046,молоко сухое,г
1047,молоко сухое обезжиренное,г
1048,молоко топленое,мл
1049,молочная смесь,г
1050,молочные продукты,г
1051,морепродукты,г
1052,морковное пюре,г
1053,морковь,г
1054,морковь вареная,г
1055,морковь крупная,г
1056,морковь молодая,г
1057,морковь по-корейски,г
1058,морковь тертая,г
1059,мороженое,г
1060,мороженое ванильное,г
1061,мороженое клубничное,г
1062,мороженое лимонное,г
1063,мороженое малиновое,г
1064,мороженое пломбир,г
1065,мороженое шоколадное,г
1066,морошка,г
1067,морские гребешки,г
1068,морской коктейль,г
1069,морской коктейль в масле,г
1070,морской коктейль замороженный,г
1071,морской черт,г
1072,морской язык,г
1073,морской язык филе,г
1074,мортаделла,г
1075,моцарелла,г
1076,моцарелла для запекания,г
1077,моцарелла для пиццы,г
1078,моцарелла мини,г
1079,моцарелла с травами,г
1080,моцарелла шарик большой,г
1081,мука,г
1082,мука 1 сорт,г
1083,мука 2 сорт,г
1084,мука «Аладушкин»,г
1085,мука грубого помола,г
1086,мука для темпуры,г
1087,мука из пророщенной пшеницы,г
1088,мука манитоба,г
1089,мука самоподнимающаяся,г
1090,мука с отрубями,г
1091,мука с семечками,г
1092,мука хлебопекарная,г
1093,мука цельнозерновая,г
1094,мускат белый,мл
1095,мускатное вино,мл
1096,мускатный орех,г
1097,мускатный орех молотый,г
1098,мюсли,г
1099,мягкий творог,г
1100,мясной бульон,мл
1101,мясной фарш,г
1102,мясо,г
1103,мясо дикого кабана,г
1104,мясо криля,г
1105,мясо на косточке,г
1106,мята,г
1107,мята сушеная,г
1108,мятный сироп,мл
1109,мятный шнапс,мл
1110,нардек,г
1111,нектарины,г
1112,нога ягненка без кости,г
1113,нори,г
1114,нуга,г
1115,нуга с орехами,г
1116,нут,г
1117,нутелла,г
1118,нут консервированный,г
1119,нутовая мука,г
1120,облепиха,г
1121,облепиха замороженная,г
1122,облепиховый сироп,мл
1123,овощи,г
1124,овощная смесь,г
1125,овощная смесь замороженная,г
1126,овощная смесь замороженная для wok,г
1127,овощная смесь по-китайски,г
1128,овощной бульон,мл
1129,овсяная мука,г
1130,овсяное молоко,мл
1131,овсяное печенье,г
1132,овсяное толокно,г
1133,овсяные зерна,г
1134,овсяные отруби,г
1135,овсяные хлопья,г
1136,овсяные хлопья быстрого приготовления,г
1137,огуречный рассол,мл
1138,огурцы,г
1139,огурцы консервированные,г
1140,огурцы малосольные,г
1141,огурцы маринованные,г
1142,огурцы свежие,г
1143,огурцы соленые,г
1144,одуванчики,г
1145,окорок,г
1146,окорок варено-копченый,г
1147,окунь,г
1148,окунь красный филе,г
1149,окунь морской,г
1150,окунь морской филе,г
1151,окунь филе,г
1152,оленина,г
1153,оливки,г
1154,оливки без косточек,г
1155,оливки зеленые,г
1156,оливки зеленые консервированные,банка
1157,оливки каламата,г
1158,оливки консервированные,г
1159,"оливки, фаршированные анчоусами",г
1160,оливки черные,г
1161,оливковая паста,г
1162,оливковое масло,г
1163,оливковое масло Extra Virgin,г
1164,опунция плоды,г
1165,опята,г
1166,опята замороженные,г
1167,опята маринованные,г
1168,орегано,г
1169,орегано свежий,г
1170,орегано сушеный,г
1171,орехи,г
1172,орехи бразильские,г
1173,орехи макадамия,г
1174,орехи пекан,г
1175,орехи пинии,г
1176,ореховая крошка,г
1177,ореховая паста,г
